fifth,one-fifth^fifth_part^twenty_percent^5th
bring,convey^take^work^play^wreak^make_for^get^fetch^land^institute^lend^impart^bestow^contribute^add^bring_in
livestock,stock^farm_animal
creeping,crawl^crawling^creep^sneak^mouse^pussyfoot^fawn^cringe^cower^grovel
things,thing^matter^affair
animals,animal^animate_being^beast^brute^creature^fauna
everything,
creeps,creep^weirdo^weirdie^weirdy^spook^crawl^crawling^creeping^sneak^mouse^pussyfoot^fawn^cringe^cower^grovel
ground,land^dry_land^earth^solid_ground^terra_firma^reason^footing^basis^background^soil^flat_coat^primer^priming^primer_coat^priming_coat^undercoat^anchor^strand^run_aground^prime^establish^base^found^crunch^cranch^craunch^grind^grate^labor^labour^toil^fag^travail^drudge^dig^moil^mash^bray^comminute
us,United_States^United_States_of_America^America^the_States^US^U.S.^USA^U.S.A.^uracil^U^uranium^atomic_number_92^u
make,brand^shuffle^shuffling^do^get^create^induce^stimulate^cause^have^produce^draw^gain^take_in^clear^earn^realize^realise^pull_in^bring_in^form^constitute^reach^get_to^progress_to^construct^build^name^nominate^attain^hit^arrive_at^lay_down^establish^hold^throw^give^make_up^take^stool^defecate^shit^take_a_shit^take_a_crap^ca-ca^crap^work^cook^fix^ready^prepare^seduce^score^pretend^make_believe^urinate^piddle^puddle^micturate^piss^pee^pee-pee^make_water^relieve_oneself^take_a_leak^spend_a_penny^wee^wee-wee^pass_water
man,adult_male^serviceman^military_man^military_personnel^homo^human_being^human^valet^valet_de_chambre^gentleman^gentleman's_gentleman^Man^Isle_of_Man^piece^world^human_race^humanity^humankind^human_beings^humans^mankind
our,
image,mental_image^persona^picture^icon^ikon^prototype^paradigm^epitome^trope^figure_of_speech^figure^double^look-alike^range^range_of_a_function^effigy^simulacrum^visualize^visualise^envision^project^fancy^see
likeness,alikeness^similitude^semblance^compare^liken^equate
have,rich_person^wealthy_person^have_got^hold^feature^experience^receive^get^own^possess^let^consume^ingest^take_in^take^throw^make^give^induce^stimulate^cause^accept^suffer^sustain^give_birth^deliver^bear^birth
dominion,rule^district^territory^territorial_dominion^Dominion
fish,Pisces^Fish^Pisces_the_Fishes^angle
all,wholly^entirely^completely^totally^altogether^whole
thing,matter^affair
his,
own,have^possess^ain
him,
male,male_person^Male^manful^manlike^manly^virile
female,female_person^distaff
subdue,repress^quash^keep_down^subjugate^reduce^suppress^stamp_down^inhibit^conquer^curb^mortify^crucify^overcome^get_over^surmount^master^subordinate^tame^chasten
behold,lay_eyes_on
i,iodine^iodin^I^atomic_number_53^one^1^ace^single^unity^ane
given,presumption^precondition^give^yield^afford^pay^hold^throw^have^make^gift^present^devote^render^return^generate^impart^leave^pass_on^establish^sacrifice^pass^hand^reach^turn_over^dedicate^consecrate^commit^apply^grant^move_over^give_way^ease_up^feed^contribute^chip_in^kick_in^collapse^fall_in^cave_in^break^founder^open^granted^apt^disposed^minded^tending
you,
herb,herbaceous_plant
is,be^exist^equal^constitute^represent^make_up^comprise^follow^embody^personify^live^cost
tree,tree_diagram^Tree^Sir_Herbert_Beerbohm_Tree^corner^shoetree
bears,bear^give_birth^deliver^birth^have^digest^endure^stick_out^stomach^stand^tolerate^support^brook^abide^suffer^put_up^turn_out^take_over^accept^assume^hold^carry^contain^yield^pay^wear^behave^acquit^deport^conduct^comport^have_a_bun_in_the_oven^gestate^expect
will,volition^testament^bequeath^leave
your,
food,nutrient^solid_food^food_for_thought^intellectual_nourishment
animal,animate_being^beast^brute^creature^fauna^carnal^fleshly^sensual
life,living^animation^aliveness^lifetime^life-time^lifespan^liveliness^spirit^sprightliness^biography^life_story^life_history^life_sentence
green,greenness^viridity^park^commons^common^Green^William_Green^Green_River^putting_green^putting_surface^greens^leafy_vegetable^K^jet^super_acid^special_K^honey_oil^cat_valium^super_C^greenish^light-green^dark-green^unripe^unripened^immature^fleeceable^gullible
had,have^have_got^hold^feature^experience^receive^get^own^possess^let^consume^ingest^take_in^take^throw^make^give^induce^stimulate^cause^accept^suffer^sustain^give_birth^deliver^bear^birth
very,identical^selfsame^really^real^rattling
sixth,one-sixth^6th
finished,complete^finish^finish_up^land_up^fetch_up^end_up^wind_up^end^stop^terminate^cease^eat_up^polish_off^ruined
vast,huge^immense^Brobdingnagian
array,raiment^regalia^range^lay_out^set_out^align
seventh,one-seventh^7th
work,piece_of_work^employment^study^workplace^oeuvre^body_of_work^do_work^act^function^operate^go^run^work_on^process^exercise^work_out^make^bring^play^wreak^make_for^put_to_work^cultivate^crop^influence^act_upon^shape^form^mold^mould^forge^knead^exploit^solve^figure_out^puzzle_out^lick^ferment^sour^turn
rested,rest^breathe^catch_one's_breath^take_a_breather^lie^stay^remain^reside^repose^perch^roost^pillow
holy,holy_place^sanctum
because,
this,
history,account^chronicle^story
generations,coevals^contemporaries^generation^genesis^multiplication^propagation
when,
they,
yahweh,Yahweh^YHWH^Yahwe^Yahveh^YHVH^Yahve^Wahvey^Jahvey^Jahweh^Jehovah^JHVH
no,nobelium^No^atomic_number_102^no_more
plant,works^industrial_plant^flora^plant_life^set^implant^engraft^embed^imbed^establish^found^constitute^institute
field,battlefield^battleground^field_of_battle^field_of_honor^discipline^subject^subject_area^subject_field^field_of_study^study^bailiwick^field_of_force^force_field^field_of_operation^line_of_business^sphere^domain^area^orbit^arena^playing_field^athletic_field^playing_area^plain^champaign^field_of_operations^theater^theater_of_operations^theatre^theatre_of_operations^field_of_view^airfield^landing_field^flying_field
yet,so_far^thus_far^up_to_now^hitherto^heretofore^as_yet^til_now^until_now^even^still^in_time^however^nevertheless^withal^all_the_same^even_so^nonetheless^notwithstanding
sprung,jump^leap^bound^spring^form^take_form^take_shape^bounce^resile^take_a_hop^rebound^recoil^reverberate^ricochet
up,astir^improving^upward^upwards^upwardly
not,non
caused,cause^do^make^induce^stimulate^have^get
rain,rainfall^rainwater^pelting^rain_down
till,boulder_clay^public_treasury^trough^cashbox^money_box
but,merely^simply^just^only
mist,mist_over^obscure^befog^becloud^obnubilate^haze_over^fog^cloud
went,travel^go^move^locomote^proceed^go_away^depart^become^get^run^pass^lead^extend^sound^function^work^operate^run_low^run_short^survive^last^live^live_on^endure^hold_up^hold_out^die^decease^perish^exit^pass_away^expire^kick_the_bucket^cash_in_one's_chips^buy_the_farm^conk^give-up_the_ghost^drop_dead^pop_off^choke^croak^snuff_it^belong^start^get_going^blend^blend_in^fit^rifle^plump^fail^go_bad^give_way^give_out^conk_out^break^break_down
watered,water^irrigate^moire
whole,unit^unharmed^unhurt^unscathed^hale^solid^unanimous^wholly^entirely^completely^totally^all^altogether
formed,form^organize^organise^constitute^make^take_form^take_shape^spring^shape^work^mold^mould^forge^imprint
dust,debris^junk^rubble^detritus^scatter^sprinkle^dot^disperse
breathed,breathe^take_a_breath^respire^suspire^rest^catch_one's_breath^take_a_breather^emit^pass_off^voiceless
into,
nostrils,nostril^anterior_naris
breath,breather^breathing_place^breathing_space^breathing_spell^breathing_time^hint^intimation
became,become^go^get^turn^suit
soul,psyche^person^individual^someone^somebody^mortal^soulfulness
planted,plant^set^implant^engraft^embed^imbed^establish^found^constitute^institute^deep-rooted^deep-seated^implanted^ingrained
garden,
eastward,east^due_east^E^eastbound^eastwards
eden,Eden^paradise^nirvana^heaven^promised_land^Shangri-la^Garden_of_Eden
whom,
out,come_out_of_the_closet^come_out^extinct^forbidden^prohibited^proscribed^taboo^tabu^verboten^knocked_out^kayoed^KO'd^stunned^away
grow,turn^mature^maturate^originate^arise^rise^develop^uprise^spring_up^raise^farm^produce^get^acquire
pleasant,
sight,vision^visual_sense^visual_modality^ken^view^survey^batch^deal^flock^good_deal^great_deal^hatful^heap^lot^mass^mess^mickle^mint^mountain^muckle^passel^peck^pile^plenty^pot^quite_a_little^raft^slew^spate^stack^tidy_sum^wad^spy
knowledge,cognition^noesis
evil,immorality^wickedness^iniquity^evilness^vicious^malefic^malevolent^malign
river,
water,H2O^body_of_water^water_system^water_supply^urine^piss^pee^piddle^weewee^irrigate
parted,separate^part^split^split_up^break^break_up^depart^start^start_out^set_forth^set_off^set_out^take_off^divide^disunite
four,4^IV^tetrad^quatern^quaternion^quaternary^quaternity^quartet^quadruplet^foursome^Little_Joe^four-spot^iv
heads,head^caput^mind^brain^psyche^nous^chief^top_dog^fountainhead^headspring^head_word^capitulum^principal^school_principal^head_teacher^promontory^headland^foreland^forefront^pass^straits^headway^point^question^heading^header^read/write_head^drumhead^oral_sex^lead^head_up^steer^maneuver^manoeuver^manoeuvre^direct^guide^channelize^channelise
