,[]
place,"['topographic_point', 'spot', 'property', 'stead', 'position', 'lieu', 'shoes', 'home', 'post', 'berth', 'office', 'billet', 'situation', 'station', 'seat', 'plaza', 'piazza', 'space', 'blank_space', 'put', 'set', 'pose', 'lay', 'rate', 'rank', 'range', 'order', 'grade', 'locate', 'site', 'come_in', 'come_out', 'target', 'aim', 'direct', 'point', 'identify', 'localize', 'localise', 'invest', 'commit']"
;,[]
watered,"['water', 'irrigate']"
prison,[]
shechem's,[]
ewe,[]
rained,['rain']
fell,"['hide', 'felled_seam', 'drop', 'strike_down', 'cut_down', 'fly', 'vanish', 'fall', 'descend', 'go_down', 'come_down', 'come', 'precipitate', 'shine', 'strike', 'decrease', 'diminish', 'lessen', 'accrue', 'light', 'return', 'pass', 'devolve', 'fall_down', 'hang', 'flow', 'settle', 'barbarous', 'brutal', 'cruel', 'roughshod', 'savage']"
joseph's,[]
ceased,"['discontinue', 'stop', 'cease', 'give_up', 'quit', 'lay_off', 'end', 'finish']"
chain,"['concatenation', 'chemical_chain', 'Chain', 'Ernst_Boris_Chain', 'Sir_Ernst_Boris_Chain', 'range', 'mountain_range', 'range_of_mountains', 'mountain_chain', 'chain_of_mountains', 'string']"
burden,"['load', 'encumbrance', 'incumbrance', 'onus', 'loading', 'effect', 'essence', 'core', 'gist', 'burthen', 'weight', 'weight_down', 'charge']"
forty's,[]
replenish,['refill']
of,[]
pinon,[]
female,['female_person']
nebaioth,[]
babel,['Tower_of_Babel']
remaining,"['stay', 'remain', 'rest', 'stay_on', 'continue', 'persist', 'leftover', 'left_over', 'left', 'odd']"
ready,"['cook', 'fix', 'make', 'prepare', 'set_up', 'gear_up', 'set']"
press,"['imperativeness', 'insistence', 'insistency', 'pressure', 'public_press', 'printing_press', 'crush', 'jam', 'wardrobe', 'closet', 'mechanical_press', 'military_press', 'pressing', 'urge', 'urge_on', 'exhort', 'weigh', 'compress', 'constrict', 'squeeze', 'compact', 'contract', 'crusade', 'fight', 'campaign', 'push', 'agitate', 'press_out', 'iron', 'iron_out', 'weight-lift', 'weightlift', 'bid', 'beseech', 'entreat', 'adjure']"
theirs,[]
mightier,[]
will,"['volition', 'testament', 'bequeath']"
ladies,"['lady', 'dame', 'madam', ""ma'am"", 'gentlewoman', 'Lady', 'noblewoman']"
obeyed,[]
heber,[]
delight,"['delectation', 'joy', 'pleasure', 'please', 'enjoy', 'revel', 'enchant', 'enrapture', 'transport', 'enthrall', 'ravish']"
voice,"['vocalization', 'vocalisation', 'vocalism', 'phonation', 'vox', 'articulation', 'spokesperson', 'interpreter', 'representative', 'part', 'sound', 'vocalize']"
sheol,[]
caphtorim,[]
gaham,[]
bruising,"['bruise', 'contuse', 'hurt', 'wound', 'injure', 'offend']"
rams,"['random-access_memory', 'random_access_memory', 'random_memory', 'RAM', 'read/write_memory', 'Aries', 'Ram', 'Aries_the_Ram', 'ram', 'tup', 'ram_down', 'pound', 'force', 'drive', 'crash', 'jam', 'jampack', 'chock_up', 'cram']"
anyone,[]
aprons,"['apron', 'proscenium']"
more,"['More', 'Thomas_More', 'Sir_Thomas_More', 'more_than']"
we're,[]
emptied,"['empty', 'discharge', 'vacate', 'abandon', 'evacuate']"
laid,"['put', 'set', 'place', 'pose', 'position', 'lay', 'put_down']"
heel,"['cad', 'bounder', 'blackguard', 'dog', 'hound', 'list']"
trade,"['craft', 'patronage', 'deal', 'business_deal', 'trade_wind', 'barter', 'swap', 'swop', 'merchandise', 'trade_in', 'switch']"
dine,[]
blameless,"['inculpable', 'irreproachable']"
deal,"['trade', 'business_deal', 'bargain', 'batch', 'flock', 'good_deal', 'great_deal', 'hatful', 'heap', 'lot', 'mass', 'mess', 'mickle', 'mint', 'mountain', 'muckle', 'passel', 'peck', 'pile', 'plenty', 'pot', 'quite_a_little', 'raft', 'sight', 'slew', 'spate', 'stack', 'tidy_sum', 'wad', 'softwood', 'hand', 'cover', 'treat', 'handle', 'plow', 'address', 'consider', 'take', 'look_at', 'cope', 'get_by', 'make_out', 'make_do', 'contend', 'grapple', 'manage', 'distribute', 'administer', 'mete_out', 'parcel_out', 'dispense', 'shell_out', 'deal_out', 'dish_out', 'allot', 'dole_out', 'sell', 'care', 'conduct', 'carry_on', 'share', 'divvy_up', 'portion_out']"
change,"['alteration', 'modification', 'variety', 'alter', 'modify', 'vary', 'switch', 'shift', 'exchange', 'commute', 'convert', 'interchange', 'transfer']"
reign,"['sovereignty', 'predominate', 'dominate', 'rule']"
fodder,['cannon_fodder']
brothers,"['brother', 'blood_brother', 'buddy', 'chum', 'crony', 'pal', 'sidekick', 'comrade']"
lay,"['ballad', 'put', 'set', 'place', 'pose', 'position', 'put_down', 'repose', 'lie', 'dwell', 'consist', 'lie_in', 'rest', 'lie_down', 'laic']"
warned,"['warn', 'discourage', 'admonish']"
hemdan,[]
honey,"['beloved', 'dear', 'dearest']"
nourished,"['nourish', 'nurture', 'sustain', 'nutrify']"
nurse,"['nanny', 'nursemaid', 'harbor', 'harbour', 'hold', 'entertain', 'breastfeed', 'suckle', 'suck', 'wet-nurse', 'lactate']"
mother's,[]
dinah's,[]
dress,"['frock', 'attire', 'garb', 'apparel', 'wearing_apparel', 'clothes', 'get_dressed', 'clothe', 'enclothe', 'raiment', 'tog', 'garment', 'habilitate', 'fit_out', 'dress_up', 'preen', 'primp', 'plume', 'dress_out', 'line_up', 'trim', 'garnish', 'decorate', 'snip', 'clip', 'crop', 'lop', 'prune', 'cut_back', 'groom', 'curry', 'arrange', 'set', 'do', 'coif', 'coiffe', 'coiffure']"
allies,"['Allies', 'ally']"
green,"['greenness', 'viridity', 'park', 'commons', 'common', 'Green', 'William_Green', 'Green_River', 'putting_green', 'putting_surface', 'greens', 'leafy_vegetable', 'K', 'jet', 'super_acid', 'special_K', 'honey_oil', 'cat_valium', 'super_C', 'greenish', 'light-green', 'dark-green', 'unripe', 'unripened', 'immature', 'fleeceable']"
terah,[]
sinners,['sinner']
mishpat,[]
could,[]
behold,[]
baker,[]
clothed,"['dress', 'clothe', 'enclothe', 'garb', 'raiment', 'tog', 'garment', 'habilitate', 'fit_out', 'apparel', 'invest', 'adorn', 'cloak', 'drape', 'robe', 'clad', 'cloaked', 'draped', 'mantled']"
upon,[]
holy,['holy_place']
aram,[]
arrayed,"['range', 'array', 'lay_out', 'set_out', 'align']"
seventeen,"['17', 'XVII']"
sacrifices,"['forfeit', 'forfeiture', 'sacrifice', 'ritual_killing']"
hundredth,"['one-hundredth', 'one_percent', 'centesimal']"
mezahab,[]
badly,"['severely', 'gravely', 'seriously', 'ill', 'poorly', 'mischievously', 'naughtily', 'bad']"
ribs,"['rib', 'costa', 'ridicule', 'roast', 'guy', 'blackguard', 'laugh_at', 'jest_at', 'make_fun']"
kindled,"['kindle', 'inflame', 'enkindle', 'conflagrate', 'arouse', 'elicit', 'evoke', 'fire', 'raise', 'provoke', 'ignited']"
families,"['family', 'household', 'house', 'home', 'menage', 'family_unit', 'class', 'category', 'family_line', 'folk', 'kinfolk', 'kinsfolk', 'sept', 'phratry', 'kin', 'kinsperson', 'syndicate', 'crime_syndicate', 'mob']"
waited,"['wait', 'hold_off', 'hold_back', 'expect', 'look', 'await']"
ride,"['drive', 'sit', 'tease', 'razz', 'rag', 'cod', 'tantalize', 'tantalise', 'bait', 'taunt', 'twit', 'rally', 'depend_on', 'devolve_on', 'depend_upon', 'turn_on', 'hinge_on', 'hinge_upon']"
kiss,"['buss', 'osculation', 'candy_kiss', 'snog']"
swarmed,"['teem', 'pullulate', 'swarm', 'pour']"
lesser,[]
thus,"['frankincense', 'olibanum', 'gum_olibanum', 'therefore', 'hence', 'thence', 'so']"
parcel,"['package', 'portion', 'share', 'tract', 'piece_of_land', 'piece_of_ground', 'parcel_of_land', 'bundle']"
traveled,"['travel', 'go', 'move', 'locomote', 'journey', 'trip', 'jaunt', 'move_around']"
sure,"['certain', 'trusted', 'indisputable', 'surely', 'certainly', 'for_sure', 'for_certain', 'sure_enough']"
happy,"['felicitous', 'glad']"
accounted,"['account', 'calculate', 'report', 'describe']"
priest,[]
draw,"['drawing_card', 'attraction', 'attractor', 'attracter', 'standoff', 'tie', 'lot', 'hook', 'hooking', 'draw_play', 'draw_poker', 'haul', 'haulage', 'pull', 'force', 'reap', 'trace', 'line', 'describe', 'delineate', 'make', 'pull_out', 'get_out', 'take_out', 'depict', 'puff', 'drag', 'withdraw', 'draw_off', 'cast', 'get', 'quarter', 'draw_and_quarter', 'absorb', 'suck', 'imbibe', 'soak_up', 'sop_up', 'suck_up', 'take_in', 'take_up', 'attract', 'pull_in', 'draw_in', 'string', 'thread', 'pull_back', 'guide', 'run', 'pass', 'disembowel']"
made,"['make', 'do', 'get', 'create', 'induce', 'stimulate', 'cause', 'have', 'produce', 'draw', 'gain', 'take_in', 'clear', 'earn', 'realize', 'realise', 'pull_in', 'bring_in', 'form', 'constitute', 'reach', 'get_to', 'progress_to', 'construct', 'build', 'name', 'nominate', 'attain', 'hit', 'arrive_at', 'lay_down', 'establish', 'hold', 'throw', 'give', 'make_up', 'take', 'stool', 'defecate', 'shit', 'take_a_shit', 'take_a_crap', 'ca-ca', 'crap', 'work', 'cook', 'fix', 'ready', 'prepare', 'seduce', 'score', 'pretend', 'make_believe', 'urinate', 'piddle', 'puddle', 'micturate', 'piss', 'pee', 'pee-pee', 'make_water', 'relieve_oneself', 'take_a_leak', 'spend_a_penny', 'wee', 'wee-wee']"
tenth,"['one-tenth', 'tenth_part', 'ten_percent']"
seventh,['one-seventh']
scepter,"['sceptre', 'verge']"
wander,"['roll', 'swan', 'stray', 'tramp', 'roam', 'cast', 'ramble', 'rove', 'range', 'drift', 'vagabond', 'cheat_on', 'cheat', 'cuckold', 'betray', 'weave', 'wind', 'thread', 'meander', 'digress']"
amorite,[]
aran,[]
seven,"['7', 'VII', 'sevener', 'heptad', 'septet', 'septenary', 'seven-spot']"
angel,"['saint', 'holy_man', 'holy_person', 'backer', 'Angel']"
bedad,[]
follow,"['postdate', 'fall_out', 'travel_along', 'comply', 'abide_by', 'come_after', 'conform_to', 'adopt', 'espouse', 'take_after', 'trace', 'watch', 'observe', 'watch_over', 'keep_an_eye_on', 'succeed', 'play_along', 'accompany', 'keep_up', 'keep_abreast', 'come', 'be', 'surveil', 'survey', 'pursue', 'stick_to']"
canaanite,[]
clusters,"['bunch', 'clump', 'cluster', 'clustering', 'constellate', 'flock', 'bunch_up']"
none,[]
kenites,[]
nimrod,[]
iram,[]
hiddekel,[]
neither,[]
touched,"['touch', 'stir', 'refer', 'pertain', 'relate', 'concern', 'come_to', 'bear_on', 'touch_on', 'have-to_doe_with', 'adjoin', 'meet', 'contact', 'affect', 'impact', 'bear_upon', 'reach', 'extend_to', 'equal', 'rival', 'match', 'disturb', 'allude', 'advert', 'partake', 'tint', 'tinct', 'tinge', 'moved', 'affected', 'stirred']"
neck,"['cervix', 'neck_opening']"
favor,"['favour', 'party_favor', 'party_favour', 'prefer']"
bethlehem,"['Bethlehem', 'Bayt_Lahm', 'Bethlehem_Ephrathah']"
herbs,['herb']
beersheba,[]
cave,['undermine']
saved,"['salvage', 'salve', 'relieve', 'save', 'preserve', 'carry_through', 'pull_through', 'bring_through', 'lay_aside', 'save_up', 'make_unnecessary', 'deliver', 'redeem', 'spare', 'economize', 'economise', 'keep_open', 'hold_open', 'keep', 'write']"
grass,"['Grass', 'Gunter_Grass', 'Gunter_Wilhelm_Grass', 'supergrass', 'eatage', 'forage', 'pasture', 'pasturage', 'pot', 'green_goddess', 'dope', 'weed', 'gage', 'sess', 'sens', 'smoke', 'skunk', 'locoweed', 'Mary_Jane', 'grass_over', 'denounce', 'tell_on', 'betray', 'give_away', 'rat', 'shit', 'shop', 'snitch']"
statutes,['legislative_act']
appease,"['pacify', 'lenify', 'conciliate', 'assuage', 'mollify', 'placate', 'gentle', 'gruntle', 'quell', 'stay']"
pairs,"['pair', 'brace', 'couple', 'twosome', 'twain', 'span', 'yoke', 'couplet', 'distich', 'duo', 'duet', 'dyad', 'duad', 'pair_off', 'partner_off', 'match', 'mate', 'twin', 'geminate']"
sorry,"['regretful', 'bad', 'deplorable', 'distressing', 'lamentable', 'pitiful', 'sad', 'good-for-nothing', 'good-for-naught', 'meritless', 'no-account', 'no-count', 'no-good', 'blue', 'dark', 'dingy', 'disconsolate', 'dismal', 'gloomy', 'grim', 'drab', 'drear']"
those,[]
understood,"['understand', 'realize', 'realise', 'see', 'read', 'interpret', 'translate', 'infer', 'sympathize', 'sympathise', 'empathize', 'empathise', 'silent']"
wife,[]
eve,"['Eve', 'evening', 'even']"
heels,"['heel', 'cad', 'bounder', 'blackguard', 'dog', 'hound', 'list']"
street,[]
manasseh's,[]
restore,"['reconstruct', 'regenerate', 'rejuvenate', 'restitute', 'repair', 'mend', 'fix', 'bushel', 'doctor', 'furbish_up', 'touch_on', 'reinstate']"
raise,"['rise', 'wage_hike', 'hike', 'wage_increase', 'salary_increase', 'ascent', 'acclivity', 'climb', 'upgrade', 'lift', 'heave', 'elevate', 'get_up', 'bring_up', 'grow', 'farm', 'produce', 'rear', 'nurture', 'parent', 'conjure', 'conjure_up', 'invoke', 'evoke', 'stir', 'call_down', 'arouse', 'put_forward', 'call_forth', 'erect', 'set_up', 'put_up', 'elicit', 'enkindle', 'kindle', 'fire', 'provoke', 'enhance', 'heighten', 'promote', 'advance', 'kick_upstairs', 'leaven', 'prove', 'recruit', 'levy', 'resurrect']"
gifts,"['gift', 'endowment', 'talent', 'natural_endowment', 'giving', 'endow', 'indue', 'empower', 'invest', 'endue', 'give']"
leummim,[]
aside,"['digression', 'excursus', 'divagation', 'parenthesis', 'away', 'apart']"
hamor,[]
golden,"['aureate', 'gilded', 'gilt', 'gold', 'halcyon', 'prosperous', 'fortunate', 'favorable', 'favourable']"
waters,"['Waters', 'Ethel_Waters', 'amniotic_fluid', 'amnionic_fluid', 'water', 'H2O', 'body_of_water', 'water_system', 'water_supply', 'urine', 'piss', 'pee', 'piddle', 'weewee']"
required,"['necessitate', 'ask', 'postulate', 'need', 'require', 'take', 'involve', 'call_for', 'demand', 'expect', 'command', 'want', 'needed', 'needful', 'requisite', 'compulsory']"
remove,"['take', 'take_away', 'withdraw', 'get_rid_of', 'take_out', 'move_out', 'transfer', 'absent', 'murder', 'slay', 'hit', 'dispatch', 'bump_off', 'off']"
trough,"['gutter', 'bowl', 'public_treasury', 'till']"
wrestled,"['wrestle', 'writhe', 'wriggle', 'worm', 'squirm']"
plainly,"['obviously', 'evidently', 'manifestly', 'patently', 'apparently', 'plain']"
jemuel,[]
day,"['twenty-four_hours', 'twenty-four_hour_period', '24-hour_interval', 'solar_day', 'mean_solar_day', 'daytime', 'daylight', 'sidereal_day', 'Day', 'Clarence_Day']"
ear,"['auricle', 'pinna', 'spike']"
act,"['enactment', 'deed', 'human_action', 'human_activity', 'routine', 'number', 'turn', 'bit', 'move', 'behave', 'do', 'play', 'represent', 'act_as', 'work', 'dissemble', 'pretend', 'roleplay']"
word,"['news', 'intelligence', 'tidings', 'discussion', 'give-and-take', 'parole', 'word_of_honor', 'Son', 'Word', 'Logos', 'password', 'watchword', 'countersign', 'Bible', 'Christian_Bible', 'Book', 'Good_Book', 'Holy_Scripture', 'Holy_Writ', 'Scripture', 'Word_of_God', 'give_voice', 'formulate', 'phrase']"
camel,[]
'drink,[]
terrified,"['terrify', 'terrorize', 'terrorise', 'panicky', 'panicked', 'panic-stricken', 'panic-struck']"
faces,"['face', 'human_face', 'expression', 'look', 'aspect', 'facial_expression', 'side', 'grimace', 'font', 'fount', 'typeface', 'case', 'boldness', 'nerve', 'brass', 'cheek', 'confront', 'face_up', 'front']"
childless,[]
bosom,"['embrace', 'heart', 'breast', 'knocker', 'boob', 'tit', 'titty', 'hug']"
middle,"['center', 'centre', 'heart', 'eye', 'midriff', 'midsection', 'in-between', 'mediate', 'halfway']"
evening,"['eve', 'even', 'eventide', 'flush', 'level']"
sixth,['one-sixth']
willing,"['volition', 'will', 'bequeath', 'leave', 'uncoerced']"
grieved,"['grieve', 'sorrow']"
hazarmaveth,[]
furnace,[]
darkness,"['dark', 'shadow', 'iniquity', 'wickedness', 'duskiness']"
scatter,"['spread', 'scattering', 'strewing', 'disperse', 'dissipate', 'dispel', 'break_up', 'spread_out', 'sprinkle', 'dot']"
