,[]
kissed,"['snog', 'kiss', 'buss']"
almighty,"['Godhead', 'Lord', 'Creator', 'Maker', 'Divine', 'God_Almighty', 'Almighty', 'Jehovah', 'all-powerful']"
as,"['arsenic', 'As', 'atomic_number_33', 'American_Samoa', 'Eastern_Samoa', 'AS', 'angstrom', 'angstrom_unit', 'A', 'vitamin_A', 'antiophthalmic_factor', 'axerophthol', 'deoxyadenosine_monophosphate', 'adenine', 'ampere', 'amp', 'a', 'type_A', 'group_A', 'equally']"
shur,[]
also,"['besides', 'too', 'likewise']"
names,"['name_calling', 'name', 'gens', 'figure', 'public_figure', 'epithet', 'call', 'identify', 'nominate', 'make', 'appoint', 'constitute', 'mention', 'advert', 'bring_up', 'cite', 'refer', 'discover', 'key', 'key_out', 'distinguish', 'describe', 'list']"
struck,"['strike', 'affect', 'impress', 'move', 'hit', 'impinge_on', 'run_into', 'collide_with', 'walk_out', 'fall', 'shine', 'come_to', 'fall_upon', 'come_upon', 'light_upon', 'chance_upon', 'come_across', 'chance_on', 'happen_upon', 'attain', 'discover', 'scratch', 'expunge', 'excise', 'assume', 'take', 'take_up', 'mint', 'coin', 'strickle', 'smitten']"
perizzite,[]
chiefs,"['head', 'chief', 'top_dog', 'foreman', 'gaffer', 'honcho', 'boss', 'headman', 'tribal_chief']"
tamarisk,[]
elparan,[]
caught,"['catch', 'pick_up', 'get', 'grab', 'take_hold_of', 'capture', 'hitch', 'arrest', 'overtake', 'catch_up_with', 'take_in', 'overhear', 'watch', 'view', 'see', 'trip_up', 'enamour', 'trance', 'becharm', 'enamor', 'captivate', 'beguile', 'charm', 'fascinate', 'bewitch', 'entrance']"
shear,[]
might,['mightiness']
poured,"['pour', 'swarm', 'stream', 'teem', 'pullulate', 'decant', 'pour_out', 'pelt', 'rain_cats_and_dogs']"
communing,['commune']
onan,[]
.,[]
jewels,"['jewel', 'gem', 'precious_stone']"
strength,"['military_capability', 'military_strength', 'military_posture', 'posture', 'force', 'forcefulness', 'forte', 'strong_suit', 'long_suit', 'metier', 'specialty', 'speciality', 'strong_point', 'persuasiveness', 'intensity', 'intensity_level', 'potency', 'effectiveness', 'lastingness', 'durability']"
overthrow,"['upset', 'derangement', 'subvert', 'overturn', 'bring_down', 'overrule', 'override']"
shaved,"['shave', 'trim', 'knock_off', 'plane']"
hanan,[]
throw,"['stroke', 'cam_stroke', 'shed', 'cast', 'cast_off', 'shake_off', 'throw_off', 'throw_away', 'drop', 'thrust', 'give', 'flip', 'switch', 'project', 'contrive', 'bewilder', 'bemuse', 'discombobulate', 'hurl', 'hold', 'have', 'make', 'confuse', 'fox', 'befuddle', 'fuddle', 'bedevil']"
sitting,"['posing', 'seance', 'session', 'sit', 'sit_down', 'sit_around', 'model', 'pose', 'posture', 'ride', 'baby-sit', 'seat']"
shua's,[]
pillar,"['column', 'tower']"
jacob's,[]
erected,"['raise', 'erect', 'rear', 'set_up']"
joseph,['Joseph']
ararat's,[]
egypt,"['Egypt', 'Arab_Republic_of_Egypt', 'United_Arab_Republic']"
responsible,['responsible_for']
horses,"['horse', 'Equus_caballus', 'gymnastic_horse', 'cavalry', 'horse_cavalry', 'sawhorse', 'sawbuck', 'buck']"
hurt,"['injury', 'harm', 'trauma', 'distress', 'suffering', 'detriment', 'damage', 'scathe', 'ache', 'smart', 'pain', 'anguish', 'injure', 'wound', 'bruise', 'offend', 'spite', 'suffer', 'wounded']"
creatures,"['animal', 'animate_being', 'beast', 'brute', 'creature', 'fauna', 'wight', 'tool']"
cakes,"['cake', 'bar', 'patty']"
sinned,"['sin', 'transgress', 'trespass', 'drop_the_ball', 'blunder', 'boob']"
fury,"['rage', 'madness', 'craze', 'delirium', 'frenzy', 'hysteria', 'ferocity', 'fierceness', 'furiousness', 'vehemence', 'violence', 'wildness', 'Fury', 'Eumenides']"
expression,"['look', 'aspect', 'facial_expression', 'face', 'manifestation', 'reflection', 'reflexion', 'verbal_expression', 'verbalism', 'saying', 'locution', 'formulation', 'formula', 'construction']"
seek,"['search', 'look_for', 'try', 'attempt', 'essay']"
control,"['control_condition', 'dominance', 'ascendance', 'ascendence', 'ascendancy', 'ascendency', 'restraint', 'command', 'mastery', 'controller', 'hold_in', 'hold', 'contain', 'check', 'curb', 'moderate', 'operate', 'manipulate', 'keep_in_line', 'verify', 'see', 'insure', 'see_to_it', 'ensure', 'ascertain', 'assure']"
",",[]
assembly,"['fabrication', 'forum', 'meeting_place', 'assemblage']"
wagons,"['wagon', 'waggon', 'police_van', 'police_wagon', 'paddy_wagon', 'patrol_wagon', 'black_Maria', 'Big_Dipper', 'Dipper', 'Plough', ""Charles's_Wain"", 'Wain', 'Wagon', 'coaster_wagon', 'beach_wagon', 'station_wagon', 'estate_car', 'beach_waggon']"
dedan,[]
uz,[]
knead,"['work', 'massage']"
three,"['3', 'III', 'trio', 'threesome', 'tierce', 'leash', 'troika', 'triad', 'trine', 'trinity', 'ternary', 'ternion', 'triplet', 'tercet', 'terzetto', 'trey', 'deuce-ace']"
week,"['hebdomad', 'workweek']"
fully,"['to_the_full', 'full', 'amply']"
visited,"['visit', 'see', 'travel_to', 'call_in', 'call', 'inspect', 'inflict', 'bring_down', 'impose', 'chew_the_fat', 'shoot_the_breeze', 'chat', 'confabulate', 'confab', 'chitchat', 'chit-chat', 'chatter', 'chaffer', 'natter', 'gossip', 'jaw']"
wheat,"['wheat_berry', 'pale_yellow']"
stranger,"['alien', 'unknown', 'strange', 'unusual']"
seal,"['sealing_wax', 'stamp', 'sealskin', 'Navy_SEAL', 'SEAL', 'cachet', 'seal_of_approval', 'seal_off']"
husband,"['hubby', 'married_man', 'conserve', 'economize']"
submit,"['subject', 'state', 'put_forward', 'posit', 'present', 'relegate', 'pass_on', 'bow', 'defer', 'accede', 'give_in', 'take', 'put_in', 'render', 'resign']"
consent,['accept']
feeding,"['eating', 'alimentation', 'feed', 'give', 'feed_in', 'eat', 'run', 'flow', 'course', 'prey', 'feast', 'fertilize']"
'this,[]
quarter,"['one-fourth', 'fourth', 'one-quarter', 'fourth_part', 'twenty-five_percent', 'quartern', 'stern', 'after_part', 'poop', 'tail', 'billet', 'canton', 'draw']"
lie,"['prevarication', 'Lie', 'Trygve_Lie', 'Trygve_Halvden_Lie', 'dwell', 'consist', 'lie_in', 'rest']"
cows,"['cattle', 'kine', 'oxen', 'Bos_taurus', 'cow', 'moo-cow']"
told,"['state', 'say', 'tell', 'narrate', 'recount', 'recite', 'order', 'enjoin', 'assure', 'evidence', 'distinguish', 'separate', 'differentiate', 'secern', 'secernate', 'severalize', 'severalise']"
fifteen,"['15', 'XV']"
held,"['keep', 'maintain', 'hold', 'take_hold', 'throw', 'have', 'make', 'give', 'have_got', 'deem', 'view_as', 'take_for', 'harbor', 'harbour', 'entertain', 'nurse', 'restrain', 'confine', 'retain', 'keep_back', 'hold_back', 'bear', 'support', 'sustain', 'hold_up', 'carry', 'contain', 'accommodate', 'admit', 'prevail', 'obtain', 'take', 'reserve', 'book', 'defend', 'guard', 'oblige', 'bind', 'obligate', 'defy', 'withstand', 'apply', 'go_for', 'control', 'hold_in', 'check', 'curb', 'moderate', 'halt', 'arrest', 'declare', 'adjudge', 'agree', 'concur']"
oil,"['oil_color', 'oil_colour', 'petroleum', 'crude_oil', 'crude', 'rock_oil', 'fossil_oil', 'vegetable_oil', 'anoint', 'inunct', 'anele']"
merari,[]
concubine,"['courtesan', 'doxy']"
token,"['item', 'keepsake', 'souvenir', 'relic', 'nominal']"
wilderness,['Wilderness']
ugly,"['surly', 'despicable', 'vile', 'slimy', 'unworthy', 'worthless', 'wretched', 'atrocious', 'frightful', 'horrifying']"
fails,"['fail', 'neglect', 'go_wrong', 'miscarry', 'betray', 'go_bad', 'give_way', 'die', 'give_out', 'conk_out', 'go', 'break', 'break_down', 'flunk', 'bomb', 'flush_it']"
twenty's,[]
quiet,"['lull', 'tranquillity', 'tranquility', 'silence', 'repose', 'placidity', 'serenity', 'quieten', 'hush', 'quiesce', 'quiet_down', 'pipe_down', 'calm', 'calm_down', 'tranquilize', 'tranquillize', 'tranquillise', 'still', 'restrained', 'hushed', 'muted', 'subdued', 'placid', 'tranquil', 'smooth', 'unruffled']"
fathers,"['father', 'male_parent', 'begetter', 'forefather', 'sire', 'Father', 'Padre', 'Church_Father', 'Father_of_the_Church', 'Father-God', 'Fatherhood', 'founder', 'beginner', 'founding_father', 'don', 'beget', 'get', 'engender', 'mother', 'generate']"
jezer,[]
seas,['sea']
sister's,[]
corrupted,"['corrupt', 'pervert', 'subvert', 'demoralize', 'demoralise', 'debauch', 'debase', 'profane', 'vitiate', 'deprave', 'misdirect', 'bribe', 'buy', ""grease_one's_palms"", 'defile', 'sully', 'taint', 'cloud', 'spoil', 'debased']"
everyone,[]
meet,"['sports_meeting', 'run_into', 'encounter', 'run_across', 'come_across', 'see', 'get_together', 'converge', 'satisfy', 'fill', 'fulfill', 'fulfil', 'fit', 'conform_to', 'match', 'cope_with', 'gather', 'assemble', 'forgather', 'foregather', 'play', 'take_on', 'receive', 'suffer', 'touch', 'adjoin', 'contact']"
garment,"['dress', 'clothe', 'enclothe', 'garb', 'raiment', 'tog', 'habilitate', 'fit_out']"
pursued,"['chased', 'prosecute', 'engage', 'pursue', 'follow', 'quest_for', 'go_after', 'quest_after', 'follow_up_on']"
grow,"['turn', 'mature', 'maturate', 'originate', 'arise', 'rise', 'develop', 'uprise', 'spring_up', 'raise', 'farm', 'produce', 'get']"
fruit,[]
overtake,"['catch', 'catch_up_with', 'pass', 'overhaul', 'overwhelm', 'overpower', 'sweep_over', 'whelm']"
achbor,[]
pass,"['base_on_balls', 'walk', 'passing_play', 'passing_game', 'passing', 'mountain_pass', 'notch', 'passport', 'laissez_passer', 'strait', 'straits', 'head', 'bye', 'liberty_chit', 'crack', 'fling', 'go', 'whirl', 'offer', 'toss', 'flip', 'qualifying', 'pas', 'go_through', 'go_across', 'travel_by', 'pass_by', 'surpass', 'go_past', 'go_by', 'legislate', 'elapse', 'lapse', 'slip_by', 'glide_by', 'slip_away', 'slide_by', 'go_along', 'hand', 'reach', 'pass_on', 'turn_over', 'give', 'run', 'lead', 'extend', 'overtake', 'overhaul', 'happen', 'hap', 'go_on', 'pass_off', 'occur', 'fall_out', 'come_about', 'take_place', 'clear', 'spend', 'guide', 'draw', 'communicate', 'pass_along', 'put_across', 'evanesce', 'fade', 'blow_over', 'fleet', 'make_it', 'exceed', 'transcend', 'overstep', 'top', 'sink', 'fall', 'return', 'devolve', 'make_pass', 'authorize', 'authorise', 'die', 'decease', 'perish', 'exit', 'pass_away', 'expire', 'kick_the_bucket', ""cash_in_one's_chips"", 'buy_the_farm', 'conk', 'give-up_the_ghost', 'drop_dead', 'pop_off', 'choke', 'croak', 'snuff_it', 'excrete', 'egest']"
matter,"['affair', 'thing', 'topic', 'subject', 'issue', 'count']"
reumah,[]
gold,"['amber', 'Au', 'atomic_number_79', 'golden', 'gilded', 'aureate']"
yourself,[]
stay,"['arrest', 'check', 'halt', 'hitch', 'stop', 'stoppage', 'remain', 'rest', 'stick', 'stick_around', 'stay_put', 'bide', 'abide', 'stay_on', 'continue', 'detain', 'delay', 'persist', 'last_out', 'ride_out', 'outride', 'quell']"
elohe,[]
refused,"['refuse', 'decline', 'reject', 'pass_up', 'turn_down', 'defy', 'resist', 'deny']"
sulfur,"['S', 'sulphur']"
fault,"['mistake', 'error', 'defect', 'flaw', 'demerit', 'faulting', 'geological_fault', 'shift', 'fracture', 'break']"
months,['calendar_month']
merchants,['merchant']
much,"['a_lot', 'lots', 'a_good_deal', 'a_great_deal', 'very_much', 'practically']"
onyx,[]
burn,"['burning', 'tan', 'suntan', 'sunburn', 'burn_mark', 'fire', 'burn_down', 'glow', 'combust', 'bite', 'sting', 'incinerate', 'cauterize', 'cauterise', 'cut', 'burn_off']"
number,"['figure', 'act', 'routine', 'turn', 'bit', 'phone_number', 'telephone_number', 'numeral', 'issue', 'identification_number', 'total', 'add_up', 'come', 'amount', 'list', 'count', 'enumerate', 'numerate']"
breach,"['rupture', 'break', 'severance', 'rift', 'falling_out', 'transgress', 'offend', 'infract', 'violate', 'go_against']"
horns,"['horn', 'saddle_horn', 'cornet', 'trumpet', 'trump', 'French_horn', 'automobile_horn', 'car_horn', 'motor_horn', 'hooter']"
flows,"['flow', 'flowing', 'flow_rate', 'rate_of_flow', 'stream', 'current', 'menstruation', 'menses', 'menstruum', 'catamenia', 'period', 'flux', 'run', 'feed', 'course', 'hang', 'fall']"
servant,"['retainer', 'handmaid']"
envied,['envy']
breasts,"['breast', 'chest', 'bosom', 'knocker', 'boob', 'tit', 'titty', 'white_meat', 'summit']"
folly,"['foolishness', 'unwiseness', 'stupidity', 'betise', 'imbecility', 'craziness', 'madness', 'foolery', 'tomfoolery', 'lunacy']"
prostitution,['harlotry']
teeth,['dentition']
among,[]
pitched,"['flip', 'toss', 'sky', 'pitch', 'lurch', 'shift', 'peddle', 'monger', 'huckster', 'hawk', 'vend', 'slope', 'incline', 'cant', 'cant_over', 'tilt', 'slant', 'set_up', 'deliver']"
shibah,['shiva']
serug,[]
'here,[]
north,"['North', 'Union', 'due_north', 'northward', 'N', 'magnetic_north', 'compass_north', 'Frederick_North', 'Second_Earl_of_Guilford', 'northerly']"
stairway,[]
break,"['interruption', 'good_luck', 'happy_chance', 'fault', 'faulting', 'geological_fault', 'shift', 'fracture', 'rupture', 'breach', 'severance', 'rift', 'falling_out', 'respite', 'recess', 'time_out', 'breakage', 'breaking', 'pause', 'intermission', 'suspension', 'break_of_serve', 'disruption', 'gap', 'open_frame', 'breakout', 'jailbreak', 'gaolbreak', 'prisonbreak', 'prison-breaking', 'interrupt', 'separate', 'split_up', 'fall_apart', 'come_apart', 'bust', 'transgress', 'offend', 'infract', 'violate', 'go_against', 'break_out', 'break_away', 'burst', 'erupt', 'break_off', 'discontinue', 'stop', 'break_in', 'better', 'unwrap', 'disclose', 'let_on', 'bring_out', 'reveal', 'discover', 'expose', 'divulge', 'give_away', 'let_out', 'fail', 'go_bad', 'give_way', 'die', 'give_out', 'conk_out', 'go', 'break_down', 'dampen', 'damp', 'soften', 'weaken', 'part', 'split', 'break_up', 'demote', 'bump', 'relegate', 'kick_downstairs', 'bankrupt', 'ruin', 'smash', 'collapse', 'fall_in', 'cave_in', 'give', 'founder', 'break_dance', 'break-dance', 'wear', 'wear_out', 'snap_off', 'get_out', 'get_around', 'intermit', 'recrudesce', 'develop', 'crack']"
adbeel,[]
formed,"['form', 'organize', 'organise', 'constitute', 'make', 'take_form', 'take_shape', 'spring', 'shape', 'work', 'mold', 'mould', 'forge']"
would,[]
asshur,[]
hands,"['custody', 'work_force', 'workforce', 'manpower', 'men', 'hand', 'manus', 'mitt', 'paw', 'hired_hand', 'hired_man', 'handwriting', 'script', 'deal', 'bridge_player', 'helping_hand', 'pass', 'reach', 'pass_on', 'turn_over']"
canaanites,[]
birth,"['nativity', 'nascency', 'nascence', 'parturition', 'giving_birth', 'birthing', 'parentage', 'give_birth', 'deliver', 'bear']"
roll,"['axial_rotation', 'axial_motion', 'roster', 'roller', 'rolling_wave', 'coil', 'whorl', 'curl', 'curlicue', 'ringlet', 'gyre', 'scroll', 'bankroll', 'bun', 'peal', 'pealing', 'rolling', 'paradiddle', 'drum_roll', 'cast', 'bowl', 'turn_over', 'wheel', 'undulate', 'roll_out', 'wind', 'wrap', 'twine', 'hustle', 'pluck', 'flap', 'wave', 'wander', 'swan', 'stray', 'tramp', 'roam', 'ramble', 'rove', 'range', 'drift', 'vagabond', 'revolve', 'seethe']"
new,"['fresh', 'novel', 'raw', 'unexampled', 'newfangled', 'New', 'Modern', 'young', 'newly']"
lehabim,[]
against,[]
jetheth,[]
fill,"['filling', 'fill_up', 'make_full', 'occupy', 'take', 'meet', 'satisfy', 'fulfill', 'fulfil', 'satiate', 'sate']"
thread,"['yarn', 'ribbon', 'train_of_thought', 'screw_thread', 'weave', 'wind', 'meander', 'wander', 'string']"
strikes,"['strike', 'work_stoppage', 'rap', 'tap', 'ten-strike', 'hit', 'smash', 'smasher', 'bang', 'affect', 'impress', 'move', 'impinge_on', 'run_into', 'collide_with', 'walk_out', 'fall', 'shine', 'come_to', 'fall_upon', 'come_upon', 'light_upon', 'chance_upon', 'come_across', 'chance_on', 'happen_upon', 'attain', 'discover', 'scratch', 'expunge', 'excise', 'assume', 'take', 'take_up', 'mint', 'coin']"
variety,"['assortment', 'mixture', 'mixed_bag', 'miscellany', 'miscellanea', 'salmagundi', 'smorgasbord', 'potpourri', 'motley', 'diverseness', 'diversity', 'multifariousness', 'variety_show', 'kind', 'sort', 'form']"
finish,"['coating', 'finishing', 'stopping_point', 'finale', 'finis', 'last', 'conclusion', 'close', 'polish', 'refinement', 'culture', 'cultivation', 'destination', 'goal', 'ending', 'complete', 'finish_up', 'land_up', 'fetch_up', 'end_up', 'wind_up', 'end', 'stop', 'terminate', 'cease', 'eat_up']"
deborah,[]
boy's,[]
household,"['family', 'house', 'home']"
kedar,[]
want,"['privation', 'deprivation', 'neediness', 'lack', 'deficiency', 'need', 'wish', 'wishing', 'desire']"
flame,"['fire', 'flaming']"
bruise,"['contusion', 'contuse', 'hurt', 'wound', 'injure', 'offend']"
helper,"['assistant', 'help', 'supporter']"
lies,"['lie', 'prevarication', 'Lie', 'Trygve_Lie', 'Trygve_Halvden_Lie', 'dwell', 'consist', 'lie_in', 'rest']"
wall,"['paries', 'rampart', 'bulwark', 'palisade', 'fence', 'fence_in']"
lives,"['life', 'living', 'animation', 'aliveness', 'lifetime', 'life-time', 'lifespan', 'liveliness', 'spirit', 'sprightliness', 'biography', 'life_story', 'life_history', 'life_sentence', 'populate', 'dwell', 'live', 'inhabit', 'survive', 'last', 'live_on', 'go', 'endure', 'hold_up', 'hold_out', 'exist', 'subsist', 'be', 'know']"
deep,"['trench', 'oceanic_abyss', 'bass', 'rich', 'thick', 'cryptic', 'cryptical', 'inscrutable', 'mysterious', 'mystifying', 'abstruse', 'recondite', 'deeply']"
ehi,[]
breath,"['breather', 'breathing_place', 'breathing_space', 'breathing_spell', 'breathing_time', 'hint']"
sevenfold,['septuple']
shua,['Shuha_Shinto']
horsemen,"['horseman', 'equestrian', 'horseback_rider']"
hadad,[]
jamin,[]
kind,"['sort', 'form', 'variety', 'genial']"
best,"['topper', 'Best', 'C._H._Best', 'Charles_Herbert_Best', 'outdo', 'outflank', 'trump', 'scoop', 'better', 'good', 'full', 'estimable', 'honorable', 'respectable', 'beneficial', 'just', 'upright', 'adept', 'expert', 'practiced', 'proficient', 'skillful', 'skilful', 'dear', 'near', 'dependable', 'safe', 'secure', 'right', 'ripe', 'well', 'effective', 'in_effect', 'in_force', 'serious', 'sound', 'salutary', 'honest', 'undecomposed', 'unspoiled', 'unspoilt', 'easily', 'considerably', 'substantially', 'intimately', 'advantageously']"
midian,[]
revived,"['resuscitate', 'revive', 'animate', 'recreate', 'reanimate', 'renovate', 'repair', 'quicken', 'vivify', 'revivify', 'resurrect', 'come_to']"
when,[]
was,"['Washington', 'Evergreen_State', 'WA', 'be', 'exist', 'equal', 'constitute', 'represent', 'make_up', 'comprise', 'follow', 'embody', 'personify', 'live']"
fulfill,"['carry_through', 'accomplish', 'execute', 'carry_out', 'action', 'fulfil', 'satisfy', 'live_up_to', 'meet']"
where,[]
blame,"['incrimination', 'inculpation', 'rap', 'fault', 'find_fault', 'pick', 'charge', 'blasted', 'blamed', 'blessed', 'damn', 'damned', 'darned', 'deuced', 'goddam', 'goddamn', 'goddamned']"
zibeon,[]
brick,[]
goats,"['goat', 'caprine_animal', 'butt', 'laughingstock', 'stooge', 'Capricorn', 'Goat']"
thoroughly,"['exhaustively', 'soundly']"
mahanaim,[]
sees,"['see', 'understand', 'realize', 'realise', 'witness', 'find', 'visualize', 'visualise', 'envision', 'project', 'fancy', 'figure', 'picture', 'image', 'consider', 'reckon', 'view', 'regard', 'learn', 'hear', 'get_word', 'get_wind', 'pick_up', 'find_out', 'get_a_line', 'discover', 'watch', 'catch', 'take_in', 'meet', 'run_into', 'encounter', 'run_across', 'come_across', 'determine', 'check', 'ascertain', 'insure', 'see_to_it', 'ensure', 'control', 'assure', 'visit', 'attend', 'take_care', 'look', 'go_steady', 'go_out', 'date', 'examine', 'experience', 'go_through', 'escort', 'interpret']"
bilhah,[]
rebekah,['Rebecca']
hebrew,"['Hebrew', 'Jew', 'Israelite', 'Hebraic']"
bodies,"['body', 'organic_structure', 'physical_structure', 'dead_body', 'torso', 'trunk', 'consistency', 'consistence', 'eubstance', 'soundbox']"
long,"['hanker', 'yearn', 'retentive', 'recollective', 'tenacious', 'farseeing', 'farsighted', 'foresighted', 'foresightful', 'prospicient']"
keturah,[]
wages,"['reward', 'payoff', 'wage', 'pay', 'earnings', 'remuneration', 'salary', 'engage', 'wag']"
wells,"['Wells', 'H._G._Wells', 'Herbert_George_Wells', 'well', 'wellspring', 'fountainhead']"
birds,"['bird', 'fowl', 'dame', 'doll', 'wench', 'skirt', 'chick', 'boo', 'hoot', 'Bronx_cheer', 'hiss', 'raspberry', 'razzing', 'razz', 'snort', 'shuttlecock', 'birdie', 'shuttle']"
blesses,"['bless', 'sign', 'consecrate', 'hallow']"
anybody,[]
devour,"['down', 'consume', 'go_through', 'guttle', 'raven']"
one,"['1', 'I', 'ace', 'single', 'unity', 'i', 'ane', 'unitary', 'matchless', 'nonpareil', 'one_and_only', 'peerless', 'unmatched', 'unmatchable', 'unrivaled']"
serah,[]
brass,"['brass_instrument', 'administration', 'governance', 'governing_body', 'establishment', 'organization', 'organisation', 'boldness', 'nerve', 'face', 'cheek', 'brass_section', 'memorial_tablet']"
sort,"['kind', 'form', 'variety', 'sorting', 'screen', 'screen_out', 'sieve', 'classify', 'class', 'assort', 'sort_out']"
hazo,[]
apart,"['isolated', 'obscure', 'aside']"
given,"['presumption', 'precondition', 'give', 'yield', 'afford', 'pay', 'hold', 'throw', 'have', 'make', 'gift', 'present', 'devote', 'render', 'return', 'generate', 'impart', 'leave', 'pass_on', 'establish', 'sacrifice', 'pass', 'hand', 'reach', 'turn_over', 'dedicate', 'consecrate', 'commit', 'apply', 'grant', 'move_over', 'give_way', 'ease_up', 'feed', 'contribute', 'chip_in', 'kick_in', 'collapse', 'fall_in', 'cave_in', 'break', 'founder', 'open', 'granted', 'apt', 'disposed', 'minded']"
commanded,"['command', 'require', 'dominate', 'overlook', 'overtop']"
sowed,"['sow', 'seed', 'inseminate']"
enosh,[]
swarm,"['drove', 'horde', 'cloud', 'teem', 'pullulate', 'pour']"
male,"['male_person', 'Male', 'manful', 'manlike', 'manly']"
visit,"['sojourn', 'see', 'travel_to', 'call_in', 'call', 'inspect', 'inflict', 'bring_down', 'impose', 'chew_the_fat', 'shoot_the_breeze', 'chat', 'confabulate', 'confab', 'chitchat', 'chit-chat', 'chatter', 'chaffer', 'natter', 'gossip', 'jaw']"
hot,"['raging', 'blistering', 'red-hot', 'spicy']"
go,"['spell', 'tour', 'turn', 'Adam', 'ecstasy', 'XTC', 'disco_biscuit', 'cristal', 'X', 'hug_drug', 'crack', 'fling', 'pass', 'whirl', 'offer', 'go_game', 'travel', 'move', 'locomote', 'proceed', 'go_away', 'depart', 'become', 'get', 'run', 'lead', 'extend', 'sound', 'function', 'work', 'operate', 'run_low', 'run_short', 'survive', 'last', 'live', 'live_on', 'endure', 'hold_up', 'hold_out', 'die', 'decease', 'perish', 'exit', 'pass_away', 'expire', 'kick_the_bucket', ""cash_in_one's_chips"", 'buy_the_farm', 'conk', 'give-up_the_ghost', 'drop_dead', 'pop_off', 'choke', 'croak', 'snuff_it', 'belong', 'start', 'get_going', 'blend', 'blend_in', 'fit', 'rifle', 'plump', 'fail', 'go_bad', 'give_way', 'give_out', 'conk_out', 'break']"
another's,[]
enter,"['come_in', 'get_into', 'get_in', 'go_into', 'go_in', 'move_into', 'participate', 'enroll', 'inscribe', 'enrol', 'recruit', 'figure', 'record', 'put_down', 'accede', 'insert', 'infix', 'introduce']"
supplanted,"['supplant', 'replace', 'supersede', 'supervene_upon']"
another,[]
feel,"['spirit', 'tone', 'feeling', 'flavor', 'flavour', 'look', 'smell', 'tactile_property', 'experience', 'find', 'sense', 'finger']"
beor,[]
aroma,"['olfactory_property', 'smell', 'odor', 'odour', 'scent', 'fragrance']"
attractive,[]
men,"['work_force', 'workforce', 'manpower', 'hands', 'man', 'adult_male', 'serviceman', 'military_man', 'military_personnel', 'homo', 'human_being', 'human', 'valet', 'valet_de_chambre', 'gentleman', ""gentleman's_gentleman"", 'Man', 'Isle_of_Man', 'piece', 'world', 'human_race', 'humanity', 'humankind', 'human_beings', 'humans']"
amalek,[]
forgive,[]
discern,"['spot', 'recognize', 'recognise', 'distinguish', 'pick_out', 'make_out']"
violently,[]
dinah,[]
baal,[]
torn,"['tear', 'rupture', 'snap', 'bust', 'shoot', 'shoot_down', 'charge', 'buck', 'pluck', 'pull', 'deplume', 'deplumate', 'displume', 'lacerate', 'lacerated']"
hanoch,[]
zimran,[]
robes,"['robe', 'gown', 'vest', 'clothe', 'cloak', 'drape', 'rob', 'overcharge', 'soak', 'surcharge', 'gazump', 'fleece', 'plume', 'pluck']"
born,"['Born', 'Max_Born', 'bear', 'give_birth', 'deliver', 'birth', 'have', 'digest', 'endure', 'stick_out', 'stomach', 'stand', 'tolerate', 'support', 'brook', 'abide', 'suffer', 'put_up', 'turn_out', 'take_over', 'accept', 'assume', 'hold', 'carry', 'contain', 'yield', 'pay', 'wear', 'behave', 'acquit', 'deport', 'conduct', 'comport', 'have_a_bun_in_the_oven', 'gestate', 'expect', 'natural']"
rain,"['rainfall', 'rainwater', 'pelting']"
ruler's,[]
ludim,[]
saddlebags,[]
high,"['heights', 'senior_high_school', 'senior_high', 'highschool', 'high_school', 'high_gear', 'eminent', 'high-pitched', 'in_high_spirits', 'gamey', 'gamy', 'mellow', 'high_up', 'richly']"
therein,['in_this']
moved,"['travel', 'go', 'move', 'locomote', 'displace', 'proceed', 'be_active', 'act', 'affect', 'impress', 'strike', 'motivate', 'actuate', 'propel', 'prompt', 'incite', 'run', 'make_a_motion', 'affected', 'stirred']"
souls,"['soul', 'psyche', 'person', 'individual', 'someone', 'somebody', 'mortal']"
anointed,"['anoint', 'inunct', 'oil', 'anele']"
remembered,"['remember', 'retrieve', 'recall', 'call_back', 'call_up', 'recollect', 'think', 'think_of', 'think_back', 'commend']"
yielded,"['yield', 'give', 'afford', 'give_way', 'render', 'return', 'generate', 'concede', 'cede', 'grant', 'relent', 'soften', 'move_over', 'ease_up', 'succumb', 'pay', 'bear', 'give_in', 'knuckle_under']"
dainties,"['dainty', 'delicacy', 'goody', 'kickshaw']"
handmaid,['handmaiden']
fear,"['fearfulness', 'fright', 'concern', 'care', 'reverence', 'awe', 'veneration', 'dread', 'revere']"
listened,"['listen', 'hear', 'take_heed', 'heed']"
space,"['infinite', 'outer_space', 'blank', 'distance', 'blank_space', 'place']"
enmity,"['hostility', 'antagonism']"
jahzeel,[]
walking,"['walk', 'take_the_air']"
right,"['right_field', 'rightfield', 'right_wing', 'right_hand', 'rightfulness', 'compensate', 'redress', 'correct', 'rectify', 'proper', 'right-hand', 'good', 'ripe', 'veracious', 'flop', 'properly', 'decently', 'decent', 'in_good_order', 'the_right_way', 'right_on', 'mighty', 'mightily', 'powerful', 'justly', 'correctly']"
hills,"['hill', 'mound', 'Hill', 'J._J._Hill', 'James_Jerome_Hill', 'Benny_Hill', 'Alfred_Hawthorne']"
