ceased,discontinue^stop^cease^give_up^quit^lay_off^end^finish^terminate
or,Oregon^Beaver_State^OR^operating_room^operating_theater^operating_theatre^surgery
create,make^produce
new,fresh^novel^raw^unexampled^newfangled^New^Modern^young^newly^freshly
lord,Godhead^Lord^Creator^Maker^Divine^God_Almighty^Almighty^Jehovah^overlord^master^noble^nobleman
tells,Tell^William_Tell^state^say^tell^narrate^recount^recite^order^enjoin^assure^evidence^distinguish^separate^differentiate^secern^secernate^severalize^severalise^tell_apart
john,toilet^lavatory^lav^can^privy^bathroom^John^King_John^John_Lackland^Saint_John^St._John^Saint_John_the_Apostle^St._John_the_Apostle^John_the_Evangelist^John_the_Divine^whoremaster^whoremonger^trick^Gospel_According_to_John
5,five^V^cinque^quint^quintet^fivesome^quintuplet^pentad^fin^Phoebe^Little_Phoebe^v
17,seventeen^XVII^xvii
"""",
still,hush^stillness^distillery^calm^calm_down^quiet^tranquilize^tranquillize^tranquillise^quieten^lull^silence^shut_up^hush_up^allay^relieve^ease^inactive^motionless^static^silent^soundless^placid^tranquil^smooth^unruffled^noneffervescent^however^nevertheless^withal^yet^all_the_same^even_so^nonetheless^notwithstanding^even^stock-still
worketh,
viz,
conserving,conserve^preserve^maintain^keep_up^husband^economize^economise
governing,government^governance^government_activity^administration^regulate^regularize^regularise^order^govern^rule
creating,make^create^produce
souls,soul^psyche^person^individual^someone^somebody^mortal^soulfulness
sanctified,consecrate^bless^hallow^sanctify^purify^purge^consecrated^sacred
because,
these,
generations,coevals^contemporaries^generation^genesis^multiplication^propagation
when,
plant,works^industrial_plant^flora^plant_life^set^implant^engraft^embed^imbed^establish^found^constitute^institute
field,battlefield^battleground^field_of_battle^field_of_honor^discipline^subject^subject_area^subject_field^field_of_study^study^bailiwick^field_of_force^force_field^field_of_operation^line_of_business^sphere^domain^area^orbit^arena^playing_field^athletic_field^playing_area^plain^champaign^field_of_operations^theater^theater_of_operations^theatre^theatre_of_operations^field_of_view^airfield^landing_field^flying_field
before,earlier^ahead^in_front
sprung,jump^leap^bound^spring^form^take_form^take_shape^bounce^resile^take_a_hop^rebound^recoil^reverberate^ricochet
up,astir^improving^upward^upwards^upwardly
ground,land^dry_land^earth^solid_ground^terra_firma^reason^footing^basis^background^soil^flat_coat^primer^priming^primer_coat^priming_coat^undercoat^anchor^strand^run_aground^prime^establish^base^found^crunch^cranch^craunch^grind^grate^labor^labour^toil^fag^travail^drudge^dig^moil^mash^bray^comminute
grew,turn^grow^mature^maturate^originate^arise^rise^develop^uprise^spring_up^raise^farm^produce^get^acquire
rained,rain^rain_down
till,boulder_clay^public_treasury^trough^cashbox^money_box
spring,springtime^fountain^outflow^outpouring^natural_spring^give^springiness^leap^leaping^saltation^bound^bounce^jump^form^take_form^take_shape^resile^take_a_hop^rebound^recoil^reverberate^ricochet
rose,rosebush^blush_wine^pink_wine^rose_wine^rosiness^rise^lift^arise^move_up^go_up^come_up^uprise^climb^get_up^stand_up^rear^surface^rise_up^originate^develop^spring_up^grow^ascend^wax^mount^heighten^turn_out^jump^climb_up^rebel^prove^resurrect^roseate^rosaceous
out,come_out_of_the_closet^come_out^extinct^forbidden^prohibited^proscribed^taboo^tabu^verboten^knocked_out^kayoed^KO'd^stunned^away
watering,lacrimation^lachrymation^tearing^water^irrigate
surface,Earth's_surface^open^airfoil^aerofoil^control_surface^come_up^rise_up^rise^coat^come_on^come_out^turn_up^show_up
