,[]
grecians',[]
lave,"['lap', 'wash']"
dolt,"['stupid', 'stupid_person', 'stupe', 'dullard', 'pudding_head', 'pudden-head', 'poor_fish']"
puppet's,[]
thunderer,['Jupiter_Tonans']
unquietness,[]
stupified,[]
orderly,['hospital_attendant']
whippers,['switcher']
instigations,"['abetment', 'abettal', 'instigation']"
passport,['pass']
thankless,"['ungrateful', 'unthankful', 'unappreciated']"
bemonster,[]
caesar],[]
disgracious,[]
neglectingly,[]
patients,"['patient', 'affected_role']"
scythe's,[]
fadge,[]
venuto,[]
geck,[]
furnish,"['supply', 'provide']"
leets,[]
lott'ry,[]
follower,[]
rere,[]
batler,[]
hydra,['Hydra']
wor'st,[]
imitations,"['imitation', 'caricature']"
[retires,[]
tomboys,"['tomboy', 'romp']"
whoever,[]
howlet's,[]
sh',[]
heroic,"['heroic_verse', 'heroic_meter', 'epic', 'larger-than-life', 'heroical', 'expansive', 'grand']"
sav'd,[]
isis,"['Isis', 'Directorate_for_Inter-Services_Intelligence', 'Inter-Services_Intelligence']"
rattles,"['rattle', 'rattling']"
troubles,"['trouble', 'problem', 'fuss', 'bother', 'hassle', 'difficulty', 'worry', 'disturb', 'upset', 'put_out', 'inconvenience', 'disoblige', 'discommode', 'incommode', 'perturb', 'unhinge', 'disquiet', 'cark', 'distract', 'disorder', 'trouble_oneself', 'inconvenience_oneself', 'ail']"
laundress,"['washwoman', 'washerwoman']"
gagg'd,[]
proceeded,"['continue', 'go_on', 'carry_on', 'proceed', 'go_forward', 'go', 'move', 'go_along']"
shaped,"['determine', 'shape', 'mold', 'influence', 'regulate', 'form', 'work', 'mould', 'forge', 'molded']"
slime,"['sludge', 'goo', 'goop', 'gook', 'guck', 'gunk', 'muck']"
vow'dst,[]
luckier,"['lucky', 'golden', 'favorable', 'favourable']"
avoirdupois,"['avoirdupois_weight', 'fatness', 'fat']"
foe's,[]
d'honneur,[]
disdainful,"['contemptuous', 'insulting', 'scornful', 'haughty', 'imperious', 'lordly', 'overbearing', 'prideful', 'sniffy', 'supercilious']"
parcels,"['package', 'parcel', 'portion', 'share', 'tract', 'piece_of_land', 'piece_of_ground', 'parcel_of_land', 'bundle']"
matron's,[]
depos'd,[]
coffin],[]
wished,"['wish', 'care', 'like', 'wish_well']"
contribution,"['part', 'share']"
hourly,[]
misdoubteth,[]
seeded,"['seed', 'sow']"
bye,"['pass', 'adieu', 'adios', 'arrivederci', 'auf_wiedersehen', 'au_revoir', 'bye-bye', 'cheerio', 'good-by', 'goodby', 'good-bye', 'goodbye', 'good_day', 'sayonara']"
smoky,[]
newby,[]
'till,[]
illumineth,[]
smooth,"['smoothen', 'polish', 'shine', 'smooth_out', 'politic', 'suave', 'bland', 'fluent', 'fluid', 'liquid', 'legato', 'placid', 'quiet', 'still', 'tranquil']"
pegs,"['peg', 'nog', 'pin', 'stick', 'wooden_leg', 'leg', 'pegleg', 'thole', 'tholepin', 'rowlock', 'oarlock', 'nail_down', 'nail']"
delves,"['delf', 'dig', 'delve', 'cut_into']"
104,[]
ingratitude,[]
extracting,"['extract', 'pull_out', 'pull', 'pull_up', 'take_out', 'draw_out', 'educe', 'evoke', 'elicit', 'distill', 'distil', 'press_out', 'express']"
foremost,"['first', 'world-class', 'frontmost', 'firstly', 'first_of_all']"
mazed,"['baffled', 'befuddled', 'bemused', 'bewildered', 'confounded', 'confused', 'lost', 'mixed-up']"
suffolk's,[]
plod,"['plodding', 'slog', 'footslog', 'trudge', 'pad']"
accumulation,"['accretion', 'collection', 'aggregation', 'assemblage', 'accrual']"
quicker,"['quick', 'speedy', 'flying', 'fast', 'agile', 'nimble', 'spry', 'ready', 'immediate', 'prompt', 'straightaway', 'warm']"
sanctuary,"['refuge', 'asylum', 'chancel']"
allowed,"['let', 'allow', 'permit', 'countenance', 'grant', 'appropriate', 'earmark', 'set_aside', 'reserve', 'leave', 'allow_for', 'provide', 'take_into_account', 'admit', 'give_up']"
blood,"['rake', 'rakehell', 'profligate', 'rip', 'roue', 'lineage', 'line', 'line_of_descent', 'descent', 'bloodline', 'blood_line', 'pedigree', 'ancestry', 'origin', 'parentage', 'stemma']"
nineteen,"['19', 'XIX']"
supplies,"['supply', 'provision', 'supplying', 'provide', 'render', 'furnish', 'issue', 'ply', 'cater', 'add']"
compelling,"['compel', 'oblige']"
starings,"['gaze', 'stare', 'star']"
foster'd,[]
joseph,['Joseph']
garmet,[]
registered,"['register', 'file', 'record', 'read', 'show']"
inhibition,"['suppression', 'prohibition']"
forbidden,"['forbid', 'prohibit', 'interdict', 'proscribe', 'veto', 'disallow', 'nix', 'prevent', 'forestall', 'foreclose', 'preclude', 'out', 'prohibited', 'proscribed', 'taboo', 'tabu']"
unseal,[]
legatine,[]
overta'en,[]
runaway,"['blowout', 'romp', 'laugher', 'shoo-in', 'walkaway', 'fugitive']"
moulds,"['mold', 'mould', 'cast', 'stamp', 'mildew', 'molding', 'moulding', 'modeling', 'clay_sculpture', 'model', 'shape', 'form', 'work']"
opinion,"['sentiment', 'persuasion', 'view', 'thought', 'public_opinion', 'popular_opinion', 'vox_populi', 'legal_opinion', 'judgment', 'judgement', 'ruling', 'impression', 'feeling', 'belief']"
scruple,['qualm']
pardon'd,[]
prodigious,"['colossal', 'stupendous', 'portentous', 'exceeding', 'exceptional', 'olympian']"
consist,"['dwell', 'lie', 'lie_in']"
prohibition,"['ban', 'proscription', 'prohibition_era', 'inhibition']"
dieted,[]
parti,[]
knobs,"['knob', 'boss', 'node', 'thickening']"
treacherous,"['unreliable', 'punic']"
'charge,[]
'northumberland,[]
firebrands,"['brand', 'firebrand', 'instigator', 'provoker', 'inciter']"
right,"['right_field', 'rightfield', 'right_wing', 'right_hand', 'rightfulness', 'compensate', 'redress', 'correct', 'rectify', 'proper', 'right-hand', 'good', 'ripe', 'veracious', 'flop', 'properly', 'decently', 'decent', 'in_good_order', 'the_right_way', 'right_on', 'mighty', 'mightily', 'powerful', 'justly', 'correctly']"
tournaments,['tournament']
requites,['requite']
blaspheme,"['curse', 'cuss', 'swear']"
expiring,"['run_out', 'expire', 'die', 'decease', 'perish', 'go', 'exit', 'pass_away', 'pass', 'kick_the_bucket', ""cash_in_one's_chips"", 'buy_the_farm', 'conk', 'give-up_the_ghost', 'drop_dead', 'pop_off', 'choke', 'croak', 'snuff_it', 'exhale']"
verbosity,[]
dunghill,"['midden', 'muckheap']"
conjointly,"['jointly', 'collectively']"
lamound,[]
wearer,[]
injuries,"['injury', 'hurt', 'harm', 'trauma', 'accidental_injury', 'wound']"
quenching,"['extinction', 'extinguishing', 'quench', 'slake', 'allay', 'assuage', 'snuff_out', 'blow_out', 'extinguish', 'squelch']"
clients,"['client', 'customer', 'node']"
thunderstroke,[]
tartar,"['cream_of_tartar', 'potassium_bitartrate', 'potassium_hydrogen_tartrate', 'dragon', 'Tatar', 'Tartar', 'Mongol_Tatar', 'calculus']"
prime,"['prime_quantity', 'flower', 'peak', 'heyday', 'bloom', 'blossom', 'efflorescence', 'flush', 'prime_of_life', 'ground', 'undercoat', 'premier', 'choice', 'prize', 'quality', 'select']"
polecats,"['skunk', 'polecat', 'wood_pussy', 'fitch', 'foulmart', 'foumart']"
exult,"['walk_on_air', 'be_on_cloud_nine', 'jump_for_joy', 'exuberate', 'rejoice', 'triumph']"
richly,"['amply', 'high', 'luxuriously', 'lavishly']"
pang,"['stab', 'twinge']"
julia's,[]
conjures,"['raise', 'conjure', 'conjure_up', 'invoke', 'evoke', 'stir', 'call_down', 'arouse', 'bring_up', 'put_forward', 'call_forth', 'bid', 'beseech', 'entreat', 'adjure', 'press', 'conspire', 'cabal', 'complot']"
fault's,[]
reach'd,[]
cedar,"['cedar_tree', 'cedarwood']"
leo,"['Leo', 'Lion']"
bat,"['chiropteran', 'at-bat', 'squash_racket', 'squash_racquet', 'cricket_bat', 'flutter', 'cream', 'clobber', 'drub', 'thrash']"
124,[]
misthink,[]
contemning,"['contemn', 'despise', 'scorn']"
head],[]
wisher's,[]
'benedictus,[]
deum',[]
toward,[]
morris,"['Morris', 'Esther_Morris', 'Esther_Hobart_McQuigg_Slack_Morris', 'William_Morris', 'Robert_Morris']"
belch,"['belching', 'burp', 'burping', 'eructation', 'bubble', 'eruct', 'erupt']"
fawneth,[]
vines,[]
[drum,[]
hob,"['goblin', 'hobgoblin', 'elf', 'gremlin', 'pixie', 'pixy', 'brownie']"
short'st,[]
anne,[]
adoptedly,[]
males',[]
hag,"['beldam', 'beldame', 'witch', 'crone', 'hagfish']"
griffith,"['Griffith', 'D._W._Griffith']"
southampton,[]
inveigled,"['wheedle', 'cajole', 'palaver', 'blarney', 'coax', 'sweet-talk']"
ruminate,"['chew_over', 'think_over', 'meditate', 'ponder', 'excogitate', 'contemplate', 'muse', 'reflect', 'mull', 'mull_over']"
young'st,[]
doublets,[]
frail,"['fallible', 'imperfect', 'weak', 'delicate']"
oats,[]
ambling,['amble']
assured,"['guarantee', 'ensure', 'insure', 'assure', 'secure', 'tell', 'see', 'check', 'see_to_it', 'control', 'ascertain', 'reassure']"
flatters,['flatter']
intelligencing,[]
leisures,['leisure']
remonstrance,"['expostulation', 'remonstration']"
invocate,[]
whence,[]
handkercher,[]
dismemb'red,[]
untie,"['unbrace', 'unlace', 'undo']"
bonto,[]
deaths,"['death', 'decease', 'expiry', 'dying', 'demise', 'last', 'Death', 'end']"
dragg'd,[]
turmoiled,[]
endamagement,[]
concealing,"['concealment', 'hiding', 'hide', 'conceal', 'hold_back']"
contenta,[]
leasing,"['rent', 'lease', 'hire', 'charter', 'let', 'engage']"
wimpled,[]
whisper,"['whispering', 'susurration', 'voicelessness', 'rustle']"
ercles',[]
philip's,[]
lazy,"['faineant', 'indolent', 'otiose', 'slothful']"
wild,"['natural_state', 'state_of_nature', 'wilderness', 'untamed', 'violent', 'baseless', 'groundless', 'idle', 'unfounded', 'unwarranted', 'raving_mad', 'hazardous', 'risky', 'fantastic', 'godforsaken', 'waste', 'crazy', 'dotty', 'gaga', 'barbarian', 'barbaric', 'savage', 'uncivilized', 'uncivilised', 'angry', 'furious', 'raging', 'tempestuous']"
egyptians,[]
user,"['exploiter', 'drug_user']"
lordliness,"['dignity', 'gravitas', 'arrogance', 'haughtiness', 'hauteur']"
alexander's,[]
cranmer's,[]
par,"['equality', 'equivalence']"
antiquary,['antiquarian']
herdsman,['herder']
rid,['free']
caitiffs,[]
glansdale,[]
hasten,"['rush', 'hurry', 'look_sharp', 'festinate', 'hotfoot', 'hie', 'speed', 'race', 'pelt_along', 'rush_along', 'cannonball_along', 'bucket_along', 'belt_along', 'step_on_it', 'expedite', 'induce']"
experiences,"['experience', 'see', 'go_through', 'know', 'live', 'receive', 'have', 'get']"
nosegays,"['bouquet', 'corsage', 'posy']"
soundless,['silent']
wittily,[]
lycurguses,[]
chastise,"['castigate', 'objurgate', 'chasten']"
peacock,['peacock_butterfly']
somewhither,[]
camels,[]
capability,"['capableness', 'capacity']"
